paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,061;1,0614;5,5179;5,5207;2023-03-03 10:04:16.639;Abertura
1,0621;1,0625;5,5135000000000005;5,5161999999999995;2023-03-03 11:08:17.173;Intermediário
1,0612;1,0616;5,5274;5,5301;2023-03-03 12:02:44.969;Intermediário
1,0596;1,06;5,5227;5,5255;2023-03-03 13:04:25.955;Intermediário
1,0596;1,06;5,5132;5,5159;2023-03-03 13:04:25.958;Fechamento
1,064;1,0644;5,536;5,5387;2023-03-06 10:09:19.311;Abertura
1,0653;1,0656;5,5509;5,5531;2023-03-06 11:11:17.091;Intermediário
1,0669;1,0671;5,548;5,5497;2023-03-06 12:06:17.667;Intermediário
1,0677;1,0681;5,5219000000000005;5,5246;2023-03-06 13:06:23.935;Intermediário
1,0677;1,0681;5,5482;5,5509;2023-03-06 13:06:23.946;Fechamento
1,0669;1,067;5,5255;5,5266;2023-03-07 10:09:18.118;Abertura
1,0655000000000001;1,0658;5,521;5,5232;2023-03-07 11:07:17.068;Intermediário
1,0647;1,0648;5,5349;5,5361;2023-03-07 12:08:16.928;Intermediário
1,0583;1,0587;5,5017;5,5044;2023-03-07 13:04:16.36;Intermediário
1,0583;1,0587;5,492;5,4948;2023-03-07 13:04:16.368;Fechamento
1,0545;1,0549;5,4463;5,449;2023-03-08 10:11:17.963;Abertura
1,0539;1,0542;5,427;5,4291;2023-03-08 11:04:16.974;Intermediário
1,0551;1,0553;5,4021;5,4038;2023-03-08 12:10:18.944;Intermediário
1,0552;1,0556;5,4005;5,4032;2023-03-08 13:08:39.385;Intermediário
1,0552;1,0556;5,4217;5,4244;2023-03-08 13:08:39.391;Fechamento
1,0557;1,0561;5,423;5,4257;2023-03-09 10:03:18.761;Abertura
1,0573;1,0577;5,4108;5,4135;2023-03-09 11:06:16.697;Intermediário
1,0575;1,0577;5,4326;5,4343;2023-03-09 12:05:17.143;Intermediário
1,0567;1,0571;5,4388;5,4415;2023-03-09 13:07:27.949;Intermediário
1,0567;1,0571;5,4258;5,4285;2023-03-09 13:07:27.955;Fechamento
1,0592;1,0596;5,504;5,5067;2023-03-10 10:07:17.261;Abertura
1,0619;1,0621;5,5131;5,5147;2023-03-10 11:08:16.791;Intermediário
1,0668;1,0669;5,5218;5,5229;2023-03-10 12:03:16.162;Intermediário
1,0685;1,0689;5,5157;5,5184;2023-03-10 13:04:39.309;Intermediário
1,0685;1,0689;5,5365;5,5393;2023-03-10 13:04:39.316;Fechamento
1,0694;1,0698;5,6356;5,6384;2023-03-13 10:08:21.415;Abertura
1,07;1,0702;5,5962;5,5979;2023-03-13 11:09:17.323;Intermediário
1,072;1,0724;5,5962;5,5989;2023-03-13 12:09:18.819;Intermediário
1,073;1,0731;5,6195;5,6207;2023-03-13 13:07:19.828;Intermediário
1,073;1,0731;5,6219;5,623;2023-03-13 13:07:19.847;Fechamento
1,0734;1,0738;5,6137;5,6164000000000005;2023-03-14 10:03:16.781;Abertura
1,0707;1,0711;5,5943000000000005;5,5969999999999995;2023-03-14 11:11:16.875;Intermediário
1,0717;1,0719;5,6108;5,6125;2023-03-14 12:07:17.614;Intermediário
1,0719;1,0723;5,63;5,6328;2023-03-14 13:06:42.411;Intermediário
1,0719;1,0723;5,612;5,6148;2023-03-14 13:06:42.426;Fechamento
1,0556;1,056;5,5794;5,5821000000000005;2023-03-15 10:09:16.809;Abertura
1,0543;1,0547;5,5801;5,5828;2023-03-15 11:03:17.092;Intermediário
1,0546;1,055;5,5949;5,5976;2023-03-15 12:10:16.618;Intermediário
1,0532;1,0536;5,5889;5,5917;2023-03-15 13:10:23.368;Intermediário
1,0532;1,0536;5,5793;5,5821000000000005;2023-03-15 13:10:23.373;Fechamento
1,0588;1,059;5,5993;5,6009;2023-03-16 10:11:17.324;Abertura
1,0603;1,0607;5,5974;5,6002;2023-03-16 11:04:16.356;Intermediário
1,0601;1,0605;5,6211;5,6238;2023-03-16 12:11:16.947;Intermediário
